show_id,type,title,director,country
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States
s3,TV Show,Ganglands,Julien Leclercq,France
s6,TV Show,Midnight Mass,Mike Flanagan,United States
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil
s8,Movie,Sankofa,Haile Gerima,United States
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom
s10,Movie,The Starling,Theodore Melfi,United States
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India
s13,Movie,Je Suis Karl,Christian Schwochow,Germany
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India
s852,Movie,99 Songs (Tamil),Not Given,Pakistan
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States
s4,TV Show,Jailbirds New Orleans,Not Given,Pakistan
s15,TV Show,Crime Stories: India Detectives,Not Given,Pakistan
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given
s7930,Movie,Samudri Lootere,Anirban Majumder,Not Given
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States
s25,Movie,Jeans,S. Shankar,India
s28,Movie,Grown Ups,Dennis Dugan,United States
s29,Movie,Dark Skies,Scott Stewart,United States
s30,Movie,Paranoia,Robert Luketic,United States
s20,TV Show,Jaguar,Not Given,Pakistan
s32,TV Show,Chicago Party Aunt,Not Given,Pakistan
s34,TV Show,Squid Game,Not Given,Pakistan
s35,TV Show,Tayo and Little Wizards,Not Given,Pakistan
s75,TV Show,The World's Most Amazing Vacation Rentals,Not Given,Pakistan
s84,TV Show,Metal Shop Masters,Not Given,Pakistan
s86,TV Show,Pokémon Master Journeys: The Series,Not Given,Pakistan
s88,TV Show,Titipo Titipo,Not Given,Pakistan
s90,TV Show,Mighty Raju,Not Given,Pakistan
s101,TV Show,Tobot Galaxy Detectives,Not Given,Pakistan
s122,TV Show,Hotel Del Luna,Not Given,Pakistan
s133,TV Show,Brave Animated Series,Not Given,Pakistan
s148,TV Show,How to Be a Cowboy,Not Given,Pakistan
s166,TV Show,Oldsters,Not Given,Pakistan
s190,TV Show,Bread Barbershop,Not Given,Pakistan
s182,TV Show,Turning Point: 9/11 and the War on Terror,Not Given,Pakistan
s187,TV Show,Hometown Cha-Cha-Cha,Not Given,Pakistan
s188,TV Show,The Ingenuity of the Househusband,Not Given,Pakistan
s27,Movie,Minsara Kanavu,Rajiv Menon,India
s19,Movie,Intrusion,Adam Salky,Not Given
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given
s37,Movie,The Stronghold,Cédric Jimenez,Not Given
s39,Movie,Birth of the Dragon,George Nolfi,China
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States
s42,Movie,Jaws,Steven Spielberg,United States
s43,Movie,Jaws 2,Jeannot Szwarc,United States
s44,Movie,Jaws 3,Joe Alves,United States
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States
s47,Movie,Safe House,Daniel Espinosa,South Africa
s49,Movie,Training Day,Antoine Fuqua,United States
s1093,Movie,Dolly Parton: A MusiCares Tribute,Not Given,Pakistan
s195,TV Show,Deadly Sins,Not Given,Pakistan
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan
s198,TV Show,I Heart Arlo,Not Given,Pakistan
s56,TV Show,Nailed It,Not Given,United States
s498,TV Show,Cat People,Not Given,Pakistan
s214,TV Show,RIDE ON TIME,Not Given,Pakistan
s219,TV Show,Titletown High,Not Given,Pakistan
s225,TV Show,Motel Makeover,Not Given,Pakistan
s226,TV Show,Open Your Eyes,Not Given,Pakistan
s227,TV Show,Post Mortem: No One Dies in Skarnes,Not Given,Pakistan
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Not Given
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan
s243,TV Show,Comedy Premium League,Not Given,Pakistan
s244,TV Show,Everything Will Be Fine,Not Given,Pakistan
s246,TV Show,Korean Cold Noodle Rhapsody,Not Given,Pakistan
s249,TV Show,The Chair,Not Given,Pakistan
s261,TV Show,The Defeated,Not Given,Pakistan
s310,TV Show,Car Masters: Rust to Riches,Not Given,Pakistan
s74,Movie,King of Boys,Kemi Adetiba,Nigeria
s321,TV Show,Top Secret UFO Projects: Declassified,Not Given,Pakistan
s337,TV Show,Friday Night Lights,Not Given,Pakistan
s365,TV Show,Centaurworld,Not Given,Pakistan
s369,TV Show,Khawatir,Not Given,Pakistan
s370,TV Show,Myth & Mogul: John DeLorean,Not Given,Pakistan
s377,TV Show,Transformers: War for Cybertron: Kingdom,Not Given,Pakistan
s380,TV Show,Tattoo Redo,Not Given,Pakistan
s382,TV Show,The Snitch Cartel: Origins,Not Given,Pakistan
s398,TV Show,Feels Like Ishq,Not Given,Pakistan
s483,TV Show,How to Become a Tyrant,Not Given,Pakistan
s82,Movie,Kate,Cedric Nicolas-Troyan,United States
s85,Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria
s87,Movie,Prey,Thomas Sieben,Germany
