show_id,date_added,release_year,rating,duration,listed_in
s1,9/25/2021,2020,PG-13,90 min,Documentaries
s3,9/24/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s6,9/24/2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
s14,9/22/2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies"
s8,9/24/2021,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies"
s9,9/24/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV"
s10,9/24/2021,2021,PG-13,104 min,"Comedies, Dramas"
s939,05/01/2021,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals"
s13,9/23/2021,2021,TV-MA,127 min,"Dramas, International Movies"
s940,05/01/2021,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals"
s941,05/01/2021,2014,TV-Y7,76 min,"Children & Family Movies, Comedies"
s942,05/01/2021,2013,TV-Y7,71 min,"Children & Family Movies, Comedies"
s852,5/21/2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals"
s471,7/13/2021,2021,TV-14,39 min,Movies
s730,06/12/2021,2021,TV-MA,36 min,Movies
s731,06/12/2021,2021,TV-MA,34 min,Movies
s913,05/07/2021,2021,TV-14,35 min,Comedies
s4,9/24/2021,2021,TV-MA,1 Season,"Docuseries, Reality TV"
s15,9/22/2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
s3232,11/26/2019,2019,TV-Y,46 min,Children & Family Movies
s4832,6/15/2018,2018,TV-Y,1 Season,Kids' TV
s4833,6/15/2018,2018,TV-Y,1 Season,Kids' TV
s4857,5/18/2018,2018,TV-Y,1 Season,Kids' TV
s7,9/24/2021,2021,PG,91 min,Children & Family Movies
s12,9/23/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s17,9/22/2021,2020,TV-MA,67 min,"Documentaries, International Movies"
s7930,6/18/2019,2018,TV-Y,65 min,Children & Family Movies
s21,9/22/2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s24,9/21/2021,2021,TV-Y,61 min,Children & Family Movies
s25,9/21/2021,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies"
s28,9/20/2021,2010,PG-13,103 min,Comedies
s29,9/19/2021,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy"
s30,9/19/2021,2013,PG-13,106 min,Thrillers
s20,9/22/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s32,9/17/2021,2021,TV-MA,1 Season,TV Comedies
s34,9/17/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
s35,9/17/2021,2020,TV-Y7,1 Season,Kids' TV
s75,9/14/2021,2021,TV-PG,2 Seasons,Reality TV
s84,09/10/2021,2021,TV-MA,1 Season,Reality TV
s86,09/10/2021,2021,TV-Y7,1 Season,"Anime Series, Kids' TV"
s88,09/10/2021,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
s90,09/09/2021,2017,TV-Y7,4 Seasons,Kids' TV
s101,09/07/2021,2019,TV-Y7,2 Seasons,Kids' TV
s122,09/02/2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s133,09/01/2021,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies"
s148,09/01/2021,2021,TV-PG,1 Season,Reality TV
s166,09/01/2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s190,8/28/2021,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
s182,09/01/2021,2021,TV-14,1 Season,Docuseries
s187,8/29/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s188,8/29/2021,2021,TV-G,1 Season,"International TV Shows, TV Comedies"
s27,9/21/2021,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals"
s19,9/22/2021,2021,TV-14,94 min,Thrillers
s23,9/21/2021,1996,TV-PG,161 min,"Comedies, International Movies"
s31,9/17/2021,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies"
s36,9/17/2021,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers"
s37,9/17/2021,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies"
s39,9/16/2021,2017,PG-13,96 min,"Action & Adventure, Dramas"
s48,9/16/2021,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s76,9/14/2021,2021,TV-G,106 min,Children & Family Movies
s42,9/16/2021,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas"
s43,9/16/2021,1978,PG,116 min,"Dramas, Horror Movies, Thrillers"
s44,9/16/2021,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers"
s45,9/16/2021,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers"
s47,9/16/2021,2012,R,115 min,Action & Adventure
s49,9/16/2021,2001,R,122 min,"Dramas, Thrillers"
s1093,04/07/2021,2021,TV-PG,55 min,"Documentaries, Music & Musicals"
s195,8/27/2021,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s52,9/15/2021,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies"
s53,9/15/2021,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies"
s54,9/15/2021,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies"
s55,9/15/2021,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies"
s198,8/27/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s56,9/15/2021,2021,TV-PG,6 Seasons,Reality TV
s498,07/07/2021,2021,TV-14,1 Season,Docuseries
s214,8/27/2021,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows"
s219,8/27/2021,2021,TV-14,1 Season,"Reality TV, Teen TV Shows"
s225,8/25/2021,2021,TV-14,1 Season,"International TV Shows, Reality TV"
s226,8/25/2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
s227,8/25/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
s46,9/16/2021,2021,PG,23 min,Documentaries
s57,9/15/2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies"
s58,9/15/2021,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies"
s59,9/15/2021,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies"
s60,9/15/2021,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies"
s61,9/15/2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies"
s62,9/15/2021,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies"
s63,9/15/2021,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies"
s64,9/15/2021,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies"
s243,8/20/2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies"
s244,8/20/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s246,8/20/2021,2021,TV-PG,1 Season,"Docuseries, International TV Shows"
s249,8/20/2021,2021,TV-MA,1 Season,"TV Comedies, TV Dramas"
s261,8/18/2021,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
s310,08/04/2021,2021,TV-PG,3 Seasons,Reality TV
s74,9/14/2021,2018,TV-MA,182 min,"Dramas, International Movies"
s321,08/03/2021,2021,TV-PG,1 Season,Docuseries
s337,08/01/2021,2010,TV-14,5 Seasons,"TV Dramas, Teen TV Shows"
s365,7/30/2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies"
s369,7/30/2021,2009,TV-14,1 Season,"International TV Shows, Reality TV"
s370,7/30/2021,2021,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
s377,7/29/2021,2021,TV-Y7,1 Season,Anime Series
s380,7/28/2021,2021,TV-MA,1 Season,Reality TV
s382,7/28/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s398,7/23/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s483,07/09/2021,2021,TV-MA,1 Season,Docuseries
s82,09/10/2021,2021,R,106 min,Action & Adventure
s85,09/10/2021,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas"
s87,09/10/2021,2021,TV-MA,87 min,"International Movies, Thrillers"
s401,7/23/2021,2021,TV-PG,1 Season,"Anime Series, Stand-Up Comedy & Talk Shows"
s405,7/22/2021,2021,TV-MA,85 min,Documentaries
s91,09/09/2021,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers"
s92,09/09/2021,2021,TV-14,92 min,"Documentaries, International Movies"
s431,7/21/2021,2021,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV"
s95,09/08/2021,2018,PG,90 min,"Children & Family Movies, Comedies"
s1071,4/14/2021,2021,TV-MA,84 min,Documentaries
s432,7/21/2021,2021,TV-MA,1 Season,"International TV Shows, Reality TV, Romantic TV Shows"
s436,7/20/2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows"
s467,7/14/2021,2021,TV-MA,1 Season,Reality TV
s488,07/09/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
s491,07/08/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s505,07/07/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s550,07/02/2021,2020,TV-14,1 Season,"International TV Shows, Reality TV"
s572,07/01/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s591,07/01/2021,2016,TV-Y7,3 Seasons,"Anime Series, Kids' TV"
s640,6/24/2021,2021,TV-14,1 Season,"Anime Series, International TV Shows"
s642,6/24/2021,2021,PG,97 min,"Documentaries, Sports Movies"
s648,6/23/2021,2021,TV-G,1 Season,"International TV Shows, Reality TV"
s78,09/11/2021,2021,TV-Y7,48 min,"Children & Family Movies, Comedies"
s81,09/10/2021,2021,TV-Y7,93 min,Children & Family Movies
s79,09/11/2021,2020,TV-14,145 min,"Comedies, Dramas, International Movies"
s80,09/11/2021,2021,TV-14,145 min,"Comedies, Dramas, International Movies"
s89,09/09/2021,2021,PG-13,96 min,"Documentaries, Sports Movies"
s94,09/08/2021,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies"
s113,09/03/2021,2021,PG-13,119 min,Dramas
s97,09/07/2021,2018,TV-MA,97 min,"Documentaries, Music & Musicals"
s114,09/02/2021,2021,TV-PG,110 min,"Comedies, Romantic Movies"
s654,6/22/2021,2021,TV-MA,1 Season,"Docuseries, International TV Shows"
s659,6/20/2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
s762,06/04/2021,2021,TV-PG,1 Season,"Docuseries, Science & Nature TV"
s102,09/07/2021,2021,TV-MA,80 min,"Documentaries, Sports Movies"
s664,6/19/2021,2019,TV-MA,1 Season,"International TV Shows, TV Dramas"
s106,09/05/2021,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas"
s698,6/17/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
s108,09/04/2021,2018,G,90 min,"Children & Family Movies, Dramas"
s701,6/17/2021,2021,TV-MA,1 Season,"Anime Series, International TV Shows"
s707,6/16/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s711,6/16/2021,2021,TV-PG,1 Season,"Docuseries, Science & Nature TV"
s115,09/02/2021,1994,TV-14,143 min,"Dramas, International Movies, Thrillers"
s715,6/15/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Thrillers"
s716,6/15/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
s718,6/15/2021,2021,TV-G,273 min,Documentaries
s721,6/15/2021,2021,TV-Y,2 Seasons,Kids' TV
s726,6/14/2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
s733,06/12/2021,2021,TV-MA,36 min,Movies
s739,06/11/2021,2021,TV-14,36 min,"Anime Features, Documentaries"
s752,06/08/2021,2018,TV-Y7,2 Seasons,"Kids' TV, TV Comedies"
s843,5/26/2021,2021,TV-14,1 Season,Docuseries
s848,5/24/2021,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s850,5/22/2021,2020,TV-G,61 min,"International Movies, Music & Musicals"
s937,05/01/2021,2020,TV-Y7,1 Season,Kids' TV
s928,05/01/2021,2010,TV-Y,2 Seasons,Kids' TV
s958,4/30/2021,2021,TV-PG,1 Season,Reality TV
s964,4/30/2021,2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s966,4/29/2021,2021,TV-MA,1 Season,"Anime Series, International TV Shows"
s968,4/28/2021,2021,TV-G,1 Season,"Docuseries, Science & Nature TV"
s103,09/06/2021,2021,TV-14,1 Season,"Docuseries, Science & Nature TV"
s104,09/06/2021,2020,TV-MA,117 min,"Dramas, International Movies, Thrillers"
s111,09/03/2021,2021,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows"
s116,09/02/2021,2009,PG,119 min,"Dramas, Romantic Movies"
s117,09/02/2021,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies"
s118,09/02/2021,2021,PG-13,94 min,Documentaries
s119,09/02/2021,2017,TV-14,106 min,"Dramas, International Movies, Thrillers"
s120,09/02/2021,2020,TV-MA,99 min,"Dramas, International Movies, Romantic Movies"
s129,09/01/2021,2017,PG-13,115 min,"Dramas, International Movies, Thrillers"
s123,09/02/2021,2003,R,118 min,Thrillers
s1006,4/20/2021,2013,TV-Y,76 min,"Children & Family Movies, Comedies"
